"timestamp (abs)","timestamp (rel)","sample rate (Hz)","Channel-15","Channel-14","Channel-13","Channel-12","Channel-11","Channel-10","Channel-9","Channel-8","Channel-7","Channel-6","Channel-5","Channel-4","Channel-3","Channel-2","Channel-1","Channel-0"
1078395,4605,500000,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1
1078397,4607,500000,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,1
1078400,4610,500000,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1
1078403,4613,500000,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1
1078405,4615,500000,0,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1
1078408,4618,500000,0,0,1,0,0,0,1,1,0,1,1,1,0,0,0,1
1078411,4621,500000,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,1
1078413,4623,500000,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,1
1078416,4626,500000,0,0,0,1,1,0,0,1,0,1,1,0,0,0,0,1
1078419,4629,500000,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0,1
1078421,4631,500000,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1078424,4634,500000,0,1,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1078427,4637,500000,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1
1078429,4639,500000,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,1
1078432,4642,500000,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1
1078435,4645,500000,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,1
1078437,4647,500000,0,0,1,1,0,1,1,1,1,1,1,0,0,0,0,1
1078440,4650,500000,0,0,1,1,0,1,1,1,1,1,1,1,0,0,0,1
1078443,4653,500000,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1078445,4655,500000,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1
1078448,4658,500000,0,0,0,1,0,1,1,0,0,1,1,0,0,0,0,1
1078451,4661,500000,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1
1078453,4663,500000,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1
1078456,4666,500000,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1
1078459,4669,500000,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,1
1078461,4671,500000,0,0,0,0,1,1,1,0,1,1,1,1,0,0,0,1
1078464,4674,500000,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,1
1078467,4677,500000,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,1
1078469,4679,500000,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1
1078472,4682,500000,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,1
1078475,4685,500000,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,1
1078477,4687,500000,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,1
1078480,4690,500000,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1
1078483,4693,500000,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,1
1078485,4695,500000,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,1
1078488,4698,500000,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1
1078491,4701,500000,0,1,0,0,1,1,0,1,0,1,1,0,0,0,0,1
1078493,4703,500000,0,1,0,0,1,1,0,1,0,1,1,1,0,0,0,1
1078496,4706,500000,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1
1078499,4709,500000,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1
1078501,4711,500000,0,0,1,1,0,1,0,1,1,1,1,0,0,0,0,1
1078504,4714,500000,0,0,1,1,0,1,0,1,1,1,1,1,0,0,0,1
1078507,4717,500000,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1
1078509,4719,500000,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1
1078512,4722,500000,0,1,1,1,0,1,1,1,1,1,1,0,0,0,0,1
1078515,4725,500000,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1
1078517,4727,500000,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,1
1078520,4730,500000,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,1
1078523,4733,500000,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1
1078525,4735,500000,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,1
1078528,4738,500000,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1
1078531,4741,500000,0,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1
1078533,4743,500000,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1
1078536,4746,500000,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,1
1078539,4749,500000,0,1,1,0,1,0,1,1,1,1,1,0,0,0,0,1
1078541,4751,500000,0,1,1,0,1,0,1,1,1,1,1,1,0,0,0,1
1078544,4754,500000,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
1078547,4757,500000,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
1078549,4759,500000,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0,1
1078552,4762,500000,0,0,0,0,1,1,1,1,0,1,1,1,0,0,0,1
1078555,4765,500000,0,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1
1078557,4767,500000,0,1,0,1,1,0,0,0,1,1,1,1,0,0,0,1
1078560,4770,500000,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1
1078563,4773,500000,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1
1078565,4775,500000,0,0,1,1,1,0,1,0,0,1,1,0,0,0,0,1
1078568,4778,500000,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,1
1078571,4781,500000,0,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1
1078573,4783,500000,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1
1078576,4786,500000,0,1,0,1,0,0,1,1,1,1,1,0,0,0,0,1
1078579,4789,500000,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1
1078581,4791,500000,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0,1
1078584,4794,500000,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,1
1078587,4797,500000,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,1
1078589,4799,500000,0,1,1,1,1,1,0,1,0,1,1,1,0,0,0,1
1078592,4802,500000,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1
1078595,4805,500000,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,1
1078597,4807,500000,0,0,1,0,0,0,0,1,1,1,1,0,0,0,0,1
1078600,4810,500000,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,1
1078603,4813,500000,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,1
1078605,4815,500000,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1
1078608,4818,500000,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,1
1078611,4821,500000,0,0,0,1,1,0,0,0,1,1,1,1,0,0,0,1
1078613,4823,500000,0,1,1,0,1,0,0,1,0,1,1,0,0,0,0,1
1078616,4826,500000,0,1,1,0,1,0,0,1,0,1,1,1,0,0,0,1
1078619,4829,500000,0,1,0,0,1,0,1,0,0,1,1,0,0,0,0,1
1078621,4831,500000,0,1,0,0,1,0,1,0,0,1,1,1,0,0,0,1
1078624,4834,500000,0,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1
1078627,4837,500000,0,0,1,0,1,1,1,0,1,1,1,1,0,0,0,1
1078629,4839,500000,0,1,0,1,0,1,1,1,1,1,1,0,0,0,0,1
1078632,4842,500000,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1
1078635,4845,500000,0,0,1,1,1,1,0,0,1,1,1,0,0,0,0,1
1078637,4847,500000,0,0,1,1,1,1,0,0,1,1,1,1,0,0,0,1
1078640,4850,500000,0,1,0,1,1,1,1,0,0,1,1,0,0,0,0,1
1078643,4853,500000,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1
1078645,4855,500000,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,1
1078648,4858,500000,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,1
1078651,4861,500000,0,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1
1078653,4863,500000,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,1
1078656,4866,500000,0,1,1,0,1,1,0,0,1,1,1,0,0,0,0,1
1078659,4869,500000,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1
1078661,4871,500000,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1
1078664,4874,500000,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,1
